AAIC,  3.7000,  Real Estate,  REIT—Mortgage
ABEO,  2.6700,  Healthcare,  Biotechnology
ABEV,  2.9400,  Consumer Defensive,  Beverages—Brewers
ABIO,  4.7600,  Healthcare,  Biotechnology
ABUS,  4.2900,  Healthcare,  Biotechnology
ACER,  4.0500,  Healthcare,  Biotechnology
ACRX,  2.3500,  Healthcare,  Drug Manufacturers—Specialty & Generic
ADMA,  2.6300,  Healthcare,  Biotechnology
ADMP,  1.3000,  Healthcare,  Drug Manufacturers—Specialty & Generic
ADTX,  3.4500,  Healthcare,  Biotechnology
AEG,  4.3200,  Financial Services,  Insurance—Diversified
AEZS,  1.1800,  Healthcare,  Biotechnology
AFI,  4.4900,  Industrials,  Building Products & Equipment
AGFS,  2.2800,  Consumer Defensive,  Farm Products
AGRX,  3.0000,  Healthcare,  Drug Manufacturers—Specialty & Generic
AHC,  2.4500,  Communication Services,  Publishing
AHT,  3.0000,  Real Estate,  REIT—Hotel & Motel
AIV,  4.8700,  Real Estate,  REIT—Residential
AKBA,  4.57,  Healthcare,  Biotechnology
ALSK,  3.2800,  Communication Services,  Telecom Services
AMPY,  2.6100,  Energy,  Oil & Gas E&P
ANH,  2.6800,  Real Estate,  REIT—Mortgage
ANTE,  3.5000,  Communication Services,  Telecom Services
APTO,  4.5400,  Healthcare,  Biotechnology
APTX,  3.9700,  Healthcare,  Biotechnology
ARC,  2.1900,  Industrials,  Specialty Business Services
ASC,  3.6000,  Industrials,  Marine Shipping
ASRT,  0.8797,  Healthcare,  Drug Manufacturers—Specialty & Generic
ASRV,  3.8600,  Financial Services,  Banks—Regional
AT,  2.9800,  Utilities,  Utilities—Independent Power Producers
ATAX,  4.6000,  Financial Services,  Mortgage Finance
ATHX,  2.7500,  Healthcare,  Biotechnology
ATOS,  4.0000,  Healthcare,  Biotechnology
ATRS,  4.7400,  Healthcare,  Medical Instruments & Supplies
AUTO,  3.3200,  Communication Services,  Internet Content & Information
AUY,  4.7900,  Basic Materials,  Gold
AWRE,  4.99,  Technology,  Software—Application
AXAS,  3.6250,  Energy,  Oil & Gas E&P
BBAR,  2.9500,  Financial Services,  Banks—Regional
BBD,  4.8600,  Financial Services,  Banks—Regional
BDSI,  4.1900,  Healthcare,  Biotechnology
BEST,  2.5000,  Industrials, 
BGCP,  4.0795,  Financial Services,  Capital Markets
BKCC,  3.4000,  Financial Services,  Asset Management
BKEP,  2.0900,  Energy,  Oil & Gas Midstream
BPT,  3.5900,  Energy,  Oil & Gas Refining & Marketing
BRFS,  4.2000,  Consumer Defensive,  Packaged Foods
BRY,  4.3600,  Energy,  Oil & Gas E&P
BSQR,  4.26,  Technology,  Software—Application
BTU,  3.8000,  Energy,  Thermal Coal
BXRX,  1.7700,  Healthcare,  Biotechnology
CALA,  3.1900,  Healthcare,  Biotechnology
CATB,  3.3100,  Healthcare,  Biotechnology
CCLP,  1.6900,  Energy,  Oil & Gas Equipment & Services
CCO,  1.9400,  Communication Services,  Advertising Agencies
CDEV,  3.4500,  Energy,  Oil & Gas E&P
CDTX,  2.5500,  Healthcare,  Biotechnology
CEL,  3.6600,  Communication Services,  Telecom Services
CERC,  3.4300,  Healthcare,  Biotechnology
CHMA,  4.4653,  Healthcare,  Biotechnology
CHS,  2.3400,  Consumer Cyclical,  Apparel Retail
CIG,  2.6500,  Utilities,  Utilities—Diversified
CLBS,  2.2700,  Healthcare,  Biotechnology
CLIR,  4.5300,  Industrials,  Pollution & Treatment Controls
CLMT,  3.9000,  Energy,  Oil & Gas E&P
CLSD,  3.4700,  Healthcare,  Biotechnology
CLSN,  1.9300,  Healthcare,  Biotechnology
CMCM,  4.2300,  Technology,  Software—Application
CNET,  2.9400,  Communication Services,  Advertising Agencies
CO,  4.1300,  Healthcare,  Diagnostics & Research
CPG,  3.1900,  Energy,  Oil & Gas E&P
CPRX,  4.4200,  Healthcare,  Biotechnology
CPSS,  4.2300,  Financial Services,  Credit Services
CRBP,  2.6400,  Healthcare,  Biotechnology
CRNT,  4.83,  Technology,  Communication Equipment
CRVS,  4.1000,  Healthcare,  Biotechnology
CSLT,  1.8300,  Healthcare,  Health Information Services
CTIC,  3.9400,  Healthcare,  Biotechnology
CXDC,  1.1400,  Consumer Cyclical,  Auto Parts
CYCN,  4.5200,  Healthcare,  Biotechnology
DGLY,  2.7100,  Industrials,  Security & Protection Services
DHC,  4.4600,  Real Estate,  REIT—Healthcare Facilities
DHX,  2.5100,  Industrials,  Staffing & Employment Services
DLNG,  2.8500,  Energy,  Oil & Gas Midstream
DRRX,  2.5300,  Healthcare,  Drug Manufacturers—Specialty & Generic
DS,  2.4400,  Consumer Cyclical,  Leisure
DSX,  2.6400,  Industrials,  Marine Shipping
DXYN,  4.4000,  Consumer Cyclical,  Textile Manufacturing
EEX,  4.8300,  Communication Services,  Advertising Agencies
EGY,  2.9700,  Energy,  Oil & Gas E&P
ENIC,  3.8700,  Utilities,  Utilities—Regulated Electric
ENLC,  4.1700,  Energy,  Oil & Gas Midstream
ENZ,  3.3300,  Healthcare,  Diagnostics & Research
ERF,  3.7800,  Energy,  Oil & Gas E&P
ESGC,  2.1000,  Communication Services,  Entertainment
EVC,  3.2400,  Communication Services,  Broadcasting
EVFM,  3.4800,  Healthcare,  Biotechnology
EVOK,  3.0500,  Healthcare,  Drug Manufacturers—Specialty & Generic
EXK,  4.9300,  Basic Materials,  Silver
EXPR,  3.2700,  Consumer Cyclical,  Apparel Retail
EXTN,  4.8600,  Energy,  Oil & Gas Equipment & Services
FCRD,  3.8200,  Financial Services,  Asset Management
FENG,  1.4700,  Communication Services,  Internet Content & Information
FI,  3.2400,  Energy,  Oil & Gas Equipment & Services
FINV,  4.1100,  Financial Services,  Credit Services
FLMN,  3.7400,  Energy,  Oil & Gas E&P
FRBK,  3.3500,  Financial Services,  Banks—Regional
FTK,  2.1100,  Energy,  Oil & Gas Equipment & Services
GALT,  2.3600,  Healthcare,  Biotechnology
GASS,  2.7700,  Industrials,  Marine Shipping
GCI,  4.7500,  Communication Services,  Publishing
GEN,  0.7549,  Healthcare,  Medical Care Facilities
GENE,  4.51,  Healthcare,  Diagnostics & Research
GERN,  2.0000,  Healthcare,  Biotechnology
GGB,  4.3200,  Basic Materials,  Steel
GIFI,  4.0600,  Energy,  Oil & Gas Equipment & Services
GLMD,  4.6300,  Healthcare,  Biotechnology
GLOG,  4.5000,  Energy,  Oil & Gas Midstream
GLOP,  3.4500,  Energy,  Oil & Gas Midstream
GLYC,  4.0900,  Healthcare,  Biotechnology
GMLP,  3.4600,  Energy,  Oil & Gas Midstream
GNCA,  3.2500,  Healthcare,  Biotechnology
GNUS,  1.9600,  Communication Services,  Entertainment
GNW,  3.6100,  Financial Services,  Insurance—Life
GSM,  3.4500,  Basic Materials,  Other Industrial Metals & Mining
GSUM,  1.8500,  Technology,  Software—Application
GTIM,  3.6400,  Consumer Cyclical,  Restaurants
HALL,  4.3300,  Financial Services,  Insurance—Property & Casualty
HBIO,  4.93,  Healthcare,  Medical Instruments & Supplies
HBP,  4.0000,  Industrials,  Industrial Distribution
HCHC,  3.9700,  Communication Services,  Telecom Services
HDSN,  1.5900,  Basic Materials,  Specialty Chemicals
HEPA,  2.3700,  Healthcare,  Biotechnology
HIL,  2.3100,  Industrials,  Engineering & Construction
HLX,  4.7500,  Energy,  Oil & Gas Equipment & Services
HMY,  4.2700,  Basic Materials,  Gold
HUGE,  2.2500,  Healthcare,  Drug Manufacturers—Specialty & Generic
HWCC,  3.8800,  Industrials,  Industrial Distribution
IAG,  3.4900,  Basic Materials,  Gold
ICON,  2.9100,  Consumer Cyclical,  Apparel Manufacturing
IMV,  4.4200,  Healthcare,  Biotechnology
INFI,  4.44,  Healthcare,  Biotechnology
IO,  2.9700,  Energy,  Oil & Gas Equipment & Services
IVR,  3.8300,  Real Estate,  REIT—Mortgage
JAGX,  2.7700,  Healthcare,  Biotechnology
JILL,  4.6500,  Consumer Cyclical,  Apparel Retail
JP,  2.3000,  Financial Services,  Asset Management
KOS,  2.5800,  Energy,  Oil & Gas E&P
KRMD,  4.3700,  Healthcare,  Medical Instruments & Supplies
KXIN,  3.8900,  Consumer Cyclical,  Auto & Truck Dealerships
LEE,  1.9000,  Communication Services,  Publishing
LEJU,  3.2300,  Real Estate,  Real Estate Services
LFT,  3.2300,  Real Estate,  REIT—Mortgage
LIVX,  4.4440,  Communication Services,  Entertainment
LLNW,  4.5200,  Technology,  Software—Infrastructure
LPCN,  1.9000,  Healthcare,  Biotechnology
LQDA,  3.2200,  Healthcare,  Biotechnology
LXU,  3.9800,  Basic Materials,  Chemicals
LYG,  1.9900,  Financial Services,  Banks—Regional
MARK,  4.4600,  Communication Services,  Internet Content & Information
MBIO,  4.7000,  Healthcare,  Biotechnology
MDCA,  3.3200,  Communication Services,  Advertising Agencies
MEIP,  3.8600,  Healthcare,  Biotechnology
MFA,  3.9200,  Real Estate,  REIT—Mortgage
MFG,  2.8400,  Financial Services,  Banks—Regional
