Ticker, Price, Sector, Industry
PTMN, 2.0100, , 
SRET, 9.20, , 
GSM, 3.4500, Basic Materials, Other Industrial Metals & Mining
HDSN, 1.5900, Basic Materials, Specialty Chemicals
RKDA, 3.2500, Basic Materials, Agricultural Inputs
SYNL, 8.11, Basic Materials, Steel
WWR, 9.42, Basic Materials, Other Industrial Metals & Mining
ALSK, 3.2800, Communication Services, Telecom Services
ANTE, 3.5000, Communication Services, Telecom Services
AUTO, 3.3200, Communication Services, Internet Content & Information
CNET, 2.9400, Communication Services, Advertising Agencies
CNSL, 5.96, Communication Services, Telecom Services
FLNT, 7.15, Communication Services, Advertising Agencies
GAIA, 9.82, Communication Services, Internet Content & Information
GLUU, 9.36, Communication Services, Electronic Gaming & Multimedia
GNUS, 1.9600, Communication Services, Entertainment
ISIG, 8.31, Communication Services, Advertising Agencies
LIVX, 4.4440, Communication Services, Entertainment
LTRPA, 5.09, Communication Services, Internet Content & Information
MARK, 4.4600, Communication Services, Internet Content & Information
MDCA, 3.3200, Communication Services, Advertising Agencies
NCMI, 4.3500, Communication Services, Advertising Agencies
ORBC, 8.55, Communication Services, Telecom Services
QTT, 3.8100, Communication Services, Internet Content & Information
RBBN, 9.07, Communication Services, Telecom Services
RDI, 6.26, Communication Services, Entertainment
RNWK, 3.0250, Communication Services, Electronic Gaming & Multimedia
SCOR, 4.2900, Communication Services, Advertising Agencies
SIFY, 2.9800, Communication Services, Telecom Services
SIRI, 6.14, Communication Services, Broadcasting
SRAX, 4.77, Communication Services, Advertising Agencies
TRUE, 5.00, Communication Services, Internet Content & Information
TRVG, 2.6600, Communication Services, Internet Content & Information
UXIN, 1.4700, Communication Services, Internet Content & Information
VEON, 1.6900, Communication Services, Telecom Services
XNET, 5.87, Communication Services, Advertising Agencies
AYRO, 7.35, Consumer Cyclical, Auto Manufacturers
CAAS, 6.77, Consumer Cyclical, Auto Parts
CNTY, 8.63, Consumer Cyclical, Resorts & Casinos
CRWS, 8.00, Consumer Cyclical, Textile Manufacturing
CVGI, 9.32, Consumer Cyclical, Auto Parts
CXDC, 1.1400, Consumer Cyclical, Auto Parts
DXYN, 4.4000, Consumer Cyclical, Textile Manufacturing
FRSX, 9.25, Consumer Cyclical, Auto Parts
GMBL, 8.41, Consumer Cyclical, Gambling
GTIM, 3.6400, Consumer Cyclical, Restaurants
ICON, 2.9100, Consumer Cyclical, Apparel Manufacturing
KNDI, 8.93, Consumer Cyclical, Auto Parts
KXIN, 3.8900, Consumer Cyclical, Auto & Truck Dealerships
LOTZ, 9.65, Consumer Cyclical, Auto & Truck Dealerships
NDLS, 8.90, Consumer Cyclical, Restaurants
NHTC, 6.62, Consumer Cyclical, Internet Retail
PBPB, 5.26, Consumer Cyclical, Restaurants
PLYA, 6.29, Consumer Cyclical, Resorts & Casinos
RAVE, 1.2500, Consumer Cyclical, Restaurants
SECO, 2.8400, Consumer Cyclical, Internet Retail
SFT, 8.31, Consumer Cyclical, Internet Retail
SOLO, 8.82, Consumer Cyclical, Auto Manufacturers
TAST, 6.88, Consumer Cyclical, Restaurants
TOUR, 2.8000, Consumer Cyclical, Travel Services
VRA, 9.08, Consumer Cyclical, Footwear & Accessories
XSPA, 2.1983, Consumer Cyclical, Personal Services
ZAGG, 4.2600, Consumer Cyclical, Specialty Retail
AGFS, 2.2800, Consumer Defensive, Farm Products
AQB, 9.78, Consumer Defensive, Farm Products
DTEA, 5.0200, Consumer Defensive, Packaged Foods
HMHC, 5.74, Consumer Defensive, Education & Training Services
LFVN, 9.68, Consumer Defensive, Packaged Foods
LINC, 6.30, Consumer Defensive, Education & Training Services
NBEV, 3.6900, Consumer Defensive, Beverages—Non-Alcoholic
REDU, 6.00, Consumer Defensive, Education & Training Services
REED, 1.0800, Consumer Defensive, Beverages—Non-Alcoholic
SANW, 3.6500, Consumer Defensive, Farm Products
ZVO, 5.63, Consumer Defensive, Education & Training Services
ALTO, 7.90, Energy, Oil & Gas Refining & Marketing
AMTX, 7.59, Energy, Oil & Gas Refining & Marketing
ARLP, 6.31, Energy, Thermal Coal
AXAS, 3.6250, Energy, Oil & Gas E&P
BKEP, 2.0900, Energy, Oil & Gas Midstream
BRY, 4.3600, Energy, Oil & Gas E&P
CCLP, 1.6900, Energy, Oil & Gas Equipment & Services
CDEV, 3.4500, Energy, Oil & Gas E&P
CLMT, 3.9000, Energy, Oil & Gas E&P
FLMN, 3.7400, Energy, Oil & Gas E&P
GEOS, 9.05, Energy, Oil & Gas Equipment & Services
GIFI, 4.0600, Energy, Oil & Gas Equipment & Services
GMLP, 3.4600, Energy, Oil & Gas Midstream
MMLP, 1.9100, Energy, Oil & Gas Midstream
PAA, 9.05, Energy, Oil & Gas Midstream
PAGP, 9.15, Energy, Oil & Gas Midstream
PTEN, 6.31, Energy, Oil & Gas Drilling
SND, 2.0700, Energy, Oil & Gas Equipment & Services
TELL, 3.3900, Energy, Oil & Gas E&P
TUSK, 4.5100, Energy, Oil & Gas Equipment & Services
VTNR, 2.0750, Energy, Oil & Gas Refining & Marketing
ASRV, 3.8600, Financial Services, Banks—Regional
ATAX, 4.6000, Financial Services, Mortgage Finance
BGCP, 4.0795, Financial Services, Capital Markets
BKCC, 3.4000, Financial Services, Asset Management
CPSS, 4.2300, Financial Services, Credit Services
EZPW, 5.20, Financial Services, Credit Services
FCRD, 3.8200, Financial Services, Asset Management
FNHC, 6.25, Financial Services, Insurance—Property & Casualty
FRBK, 3.3500, Financial Services, Banks—Regional
GGAL, 8.32, Financial Services, Banks—Regional
GLAD, 9.98, Financial Services, Asset Management
GLRE, 7.86, Financial Services, Insurance—Reinsurance
GROW, 6.91, Financial Services, Asset Management
HALL, 4.3300, Financial Services, Insurance—Property & Casualty
HTBK, 9.30, Financial Services, Banks—Regional
ICMB, 5.10, Financial Services, Asset Management
MCBC, 8.65, Financial Services, Banks—Regional
MFIN, 6.68, Financial Services, Credit Services
MGI, 8.81, Financial Services, Credit Services
MHLD, 2.5000, Financial Services, Insurance—Reinsurance
MRCC, 8.77, Financial Services, Mortgage Finance
OCSL, 6.01, Financial Services, Credit Services
OXSQ, 3.9200, Financial Services, Asset Management
PNNT, 5.75, Financial Services, Asset Management
PSEC, 6.83, Financial Services, Asset Management
RVSB, 5.62, Financial Services, Banks—Regional
SIEB, 5.65, Financial Services, Capital Markets
SVVC, 6.40, Financial Services, Asset Management
TRST, 6.55, Financial Services, Banks—Regional
TURN, 6.90, Financial Services, Asset Management
UIHC, 5.59, Financial Services, Insurance—Property & Casualty
WETF, 5.49, Financial Services, Asset Management
WNEB, 7.16, Financial Services, Banks—Regional
ABEO, 2.6700, Healthcare, Biotechnology
ABIO, 4.7600, Healthcare, Biotechnology
ABUS, 4.2900, Healthcare, Biotechnology
ACER, 4.0500, Healthcare, Biotechnology
ACIU, 6.82, Healthcare, Biotechnology
ACOR, 7.36, Healthcare, Biotechnology
ACRX, 2.3500, Healthcare, Drug Manufacturers—Specialty & Generic
ADAP, 6.26, Healthcare, Biotechnology
ADMA, 2.6300, Healthcare, Biotechnology
ADMP, 1.3000, Healthcare, Drug Manufacturers—Specialty & Generic
ADMS, 6.00, Healthcare, Drug Manufacturers—Specialty & Generic
ADTX, 3.4500, Healthcare, Biotechnology
AEZS, 1.1800, Healthcare, Biotechnology
AFMD, 5.99, Healthcare, Biotechnology
AGEN, 5.18, Healthcare, Biotechnology
AGLE, 7.72, Healthcare, Biotechnology
AGRX, 3.0000, Healthcare, Drug Manufacturers—Specialty & Generic
AGTC, 5.35, Healthcare, Biotechnology
AKBA, 4.57, Healthcare, Biotechnology
AMRN, 8.50, Healthcare, Biotechnology
APTO, 4.5400, Healthcare, Biotechnology
APTX, 3.9700, Healthcare, Biotechnology
AQST, 6.20, Healthcare, Biotechnology
ARDX, 7.31, Healthcare, Biotechnology
ASMB, 6.28, Healthcare, Biotechnology
ASRT, 0.8797, Healthcare, Drug Manufacturers—Specialty & Generic
ATHX, 2.7500, Healthcare, Biotechnology
ATOS, 4.0000, Healthcare, Biotechnology
ATRS, 4.7400, Healthcare, Medical Instruments & Supplies
AVDL, 8.95, Healthcare, Drug Manufacturers—Specialty & Generic
AVEO, 9.25, Healthcare, Biotechnology
AWH, 8.09, Healthcare, Diagnostics & Research
BCLI, 7.32, Healthcare, Biotechnology
BCRX, 9.99, Healthcare, Biotechnology
BDSI, 4.1900, Healthcare, Biotechnology
BIOC, 7.38, Healthcare, Diagnostics & Research
BMRA, 7.63, Healthcare, Diagnostics & Research
BSGM, 5.09, Healthcare, Medical Devices
BXRX, 1.7700, Healthcare, Biotechnology
CALA, 3.1900, Healthcare, Biotechnology
CAPR, 6.89, Healthcare, Biotechnology
CATB, 3.3100, Healthcare, Biotechnology
CBAY, 6.09, Healthcare, Biotechnology
CBIO, 5.95, Healthcare, Biotechnology
CDTX, 2.5500, Healthcare, Biotechnology
CDXC, 5.27, Healthcare, Biotechnology
CEMI, 7.77, Healthcare, Diagnostics & Research
CERC, 3.4300, Healthcare, Biotechnology
CERS, 7.65, Healthcare, Biotechnology
CFRX, 5.19, Healthcare, Biotechnology
CHMA, 4.4653, Healthcare, Biotechnology
CLBS, 2.2700, Healthcare, Biotechnology
CLSD, 3.4700, Healthcare, Biotechnology
CLSN, 1.9300, Healthcare, Biotechnology
CLVS, 9.35, Healthcare, Biotechnology
CMRX, 9.95, Healthcare, Biotechnology
CNCE, 6.99, Healthcare, Biotechnology
CPRX, 4.4200, Healthcare, Biotechnology
CRBP, 2.6400, Healthcare, Biotechnology
CRVS, 4.1000, Healthcare, Biotechnology
CTIC, 3.9400, Healthcare, Biotechnology
CTMX, 8.25, Healthcare, Biotechnology
CYCN, 4.5200, Healthcare, Biotechnology
DBVT, 5.91, Healthcare, Biotechnology
