Ticker, Price, Sector, Industry
PTMN, 2.0100, , 
CXDC, 1.1400, Consumer Cyclical, Auto Parts
REED, 1.0800, Consumer Defensive, Beverages—Non-Alcoholic
AEZS, 1.1800, Healthcare, Biotechnology
BXRX, 1.7700, Healthcare, Biotechnology
CLBS, 2.2700, Healthcare, Biotechnology
CLSN, 1.9300, Healthcare, Biotechnology
GALT, 2.3600, Healthcare, Biotechnology
GERN, 2.0000, Healthcare, Biotechnology
HEPA, 2.3700, Healthcare, Biotechnology
LPCN, 1.9000, Healthcare, Biotechnology
MLND, 2.3500, Healthcare, Biotechnology
MRKR, 2.2700, Healthcare, Biotechnology
NMTR, 1.8100, Healthcare, Biotechnology
PTE, 1.2300, Healthcare, Biotechnology
RGLS, 1.6000, Healthcare, Biotechnology
SESN, 2.4100, Healthcare, Biotechnology
SVRA, 2.0000, Healthcare, Biotechnology
TYME, 2.4700, Healthcare, Biotechnology
VSTM, 2.3800, Healthcare, Biotechnology
UTSI, 2.0600, Technology, Communication Equipment
STCN, 1.9300, Industrials, Conglomerates
ACRX, 2.3500, Healthcare, Drug Manufacturers—Specialty & Generic
ADMP, 1.3000, Healthcare, Drug Manufacturers—Specialty & Generic
ASRT, 0.8797, Healthcare, Drug Manufacturers—Specialty & Generic
HUGE, 2.2500, Healthcare, Drug Manufacturers—Specialty & Generic
NEOS, 0.9345, Healthcare, Drug Manufacturers—Specialty & Generic
NEPT, 2.3400, Healthcare, Drug Manufacturers—Specialty & Generic
RMTI, 1.4400, Healthcare, Drug Manufacturers—Specialty & Generic
SNDL, 1.1500, Healthcare, Drug Manufacturers—Specialty & Generic
TXMD, 2.2370, Healthcare, Drug Manufacturers—Specialty & Generic
GNUS, 1.9600, Communication Services, Entertainment
AGFS, 2.2800, Consumer Defensive, Farm Products
UXIN, 1.4700, Communication Services, Internet Content & Information
CCLP, 1.6900, Energy, Oil & Gas Equipment & Services
SND, 2.0700, Energy, Oil & Gas Equipment & Services
BKEP, 2.0900, Energy, Oil & Gas Midstream
MMLP, 1.9100, Energy, Oil & Gas Midstream
VTNR, 2.0750, Energy, Oil & Gas Refining & Marketing
XSPA, 2.1983, Consumer Cyclical, Personal Services
RAVE, 1.2500, Consumer Cyclical, Restaurants
MIND, 2.2700, Technology, Scientific & Technical Instruments
NXTD, 1.6300, Industrials, Security & Protection Services
GSUM, 1.8500, Technology, Software—Application
SEAC, 1.3400, Technology, Software—Application
SPRT, 2.4900, Technology, Software—Application
SREV, 1.6900, Technology, Software—Application
SYNC, 2.0900, Technology, Software—Infrastructure
PFMT, 1.1900, Industrials, Specialty Business Services
HDSN, 1.5900, Basic Materials, Specialty Chemicals
VEON, 1.6900, Communication Services, Telecom Services
