Ticker, Price, Sector, Industry
BEST, 2.5000, Industrials, 
CCO, 1.9400, Communication Services, Advertising Agencies
EEX, 4.8300, Communication Services, Advertising Agencies
CHS, 2.3400, Consumer Cyclical, Apparel Retail
EXPR, 3.2700, Consumer Cyclical, Apparel Retail
JILL, 4.6500, Consumer Cyclical, Apparel Retail
JP, 2.3000, Financial Services, Asset Management
MUFG, 4.8400, Financial Services, Banks—Diversified
NWG, 4.5700, Financial Services, Banks—Diversified
SAN, 3.3500, Financial Services, Banks—Diversified
BBAR, 2.9500, Financial Services, Banks—Regional
BBD, 4.8600, Financial Services, Banks—Regional
LYG, 1.9900, Financial Services, Banks—Regional
MFG, 2.8400, Financial Services, Banks—Regional
SUPV, 1.8600, Financial Services, Banks—Regional
ABEV, 2.9400, Consumer Defensive, Beverages—Brewers
EVC, 3.2400, Communication Services, Broadcasting
AFI, 4.4900, Industrials, Building Products & Equipment
LXU, 3.9800, Basic Materials, Chemicals
NOK, 4.3300, Technology, Communication Equipment
FINV, 4.1100, Financial Services, Credit Services
QD, 2.7200, Financial Services, Credit Services
YRD, 4.1200, Financial Services, Credit Services
CO, 4.1300, Healthcare, Diagnostics & Research
ENZ, 3.3300, Healthcare, Diagnostics & Research
RYB, 3.6399, Consumer Defensive, Education & Training Services
HIL, 2.3100, Industrials, Engineering & Construction
ESGC, 2.1000, Communication Services, Entertainment
AUY, 4.7900, Basic Materials, Gold
HMY, 4.2700, Basic Materials, Gold
IAG, 3.4900, Basic Materials, Gold
CSLT, 1.8300, Healthcare, Health Information Services
AEG, 4.3200, Financial Services, Insurance—Diversified
GNW, 3.6100, Financial Services, Insurance—Life
FENG, 1.4700, Communication Services, Internet Content & Information
DS, 2.4400, Consumer Cyclical, Leisure
RLH, 3.4200, Consumer Cyclical, Lodging
ASC, 3.6000, Industrials, Marine Shipping
DSX, 2.6400, Industrials, Marine Shipping
NAT, 3.2100, Industrials, Marine Shipping
NM, 4.8000, Industrials, Marine Shipping
SB, 2.1800, Industrials, Marine Shipping
SMHI, 3.4300, Industrials, Marine Shipping
GEN, 0.7549, Healthcare, Medical Care Facilities
RIG, 3.5400, Energy, Oil & Gas Drilling
AMPY, 2.6100, Energy, Oil & Gas E&P
CPG, 3.1900, Energy, Oil & Gas E&P
EGY, 2.9700, Energy, Oil & Gas E&P
ERF, 3.7800, Energy, Oil & Gas E&P
KOS, 2.5800, Energy, Oil & Gas E&P
MVO, 3.9499, Energy, Oil & Gas E&P
PBT, 3.8100, Energy, Oil & Gas E&P
PHX, 3.1400, Energy, Oil & Gas E&P
PVL, 1.1800, Energy, Oil & Gas E&P
QEP, 3.3000, Energy, Oil & Gas E&P
SD, 4.8800, Energy, Oil & Gas E&P
SJT, 3.8000, Energy, Oil & Gas E&P
SWN, 4.1400, Energy, Oil & Gas E&P
VOC, 2.7100, Energy, Oil & Gas E&P
WTI, 2.7200, Energy, Oil & Gas E&P
EXTN, 4.8600, Energy, Oil & Gas Equipment & Services
FI, 3.2400, Energy, Oil & Gas Equipment & Services
FTK, 2.1100, Energy, Oil & Gas Equipment & Services
HLX, 4.7500, Energy, Oil & Gas Equipment & Services
IO, 2.9700, Energy, Oil & Gas Equipment & Services
NEX, 3.8500, Energy, Oil & Gas Equipment & Services
NINE, 2.9200, Energy, Oil & Gas Equipment & Services
NR, 2.8000, Energy, Oil & Gas Equipment & Services
NRT, 4.1000, Energy, Oil & Gas Equipment & Services
TTI, 2.2000, Energy, Oil & Gas Equipment & Services
YPF, 4.2900, Energy, Oil & Gas Integrated
DLNG, 2.8500, Energy, Oil & Gas Midstream
ENLC, 4.1700, Energy, Oil & Gas Midstream
GLOG, 4.5000, Energy, Oil & Gas Midstream
GLOP, 3.4500, Energy, Oil & Gas Midstream
NNA, 3.6600, Energy, Oil & Gas Midstream
OSG, 2.1600, Energy, Oil & Gas Midstream
TK, 2.7300, Energy, Oil & Gas Midstream
BPT, 3.5900, Energy, Oil & Gas Refining & Marketing
NGL, 2.7200, Energy, Oil & Gas Refining & Marketing
UGP, 4.4000, Energy, Oil & Gas Refining & Marketing
MUX, 1.1600, Basic Materials, Other Precious Metals & Mining
BRFS, 4.2000, Consumer Defensive, Packaged Foods
STON, 3.1300, Consumer Cyclical, Personal Services
AHC, 2.4500, Communication Services, Publishing
GCI, 4.7500, Communication Services, Publishing
LEE, 1.9000, Communication Services, Publishing
AHT, 3.0000, Real Estate, REIT—Hotel & Motel
AAIC, 3.7000, Real Estate, REIT—Mortgage
ANH, 2.6800, Real Estate, REIT—Mortgage
IVR, 3.8300, Real Estate, REIT—Mortgage
LFT, 3.2300, Real Estate, REIT—Mortgage
MFA, 3.9200, Real Estate, REIT—Mortgage
MITT, 3.6000, Real Estate, REIT—Mortgage
WMC, 3.0800, Real Estate, REIT—Mortgage
XAN, 3.9400, Real Estate, REIT—Mortgage
AIV, 4.8700, Real Estate, REIT—Residential
