Ticker, Price, Sector, Industry
AUY, 4.7900, Basic Materials, Gold
EXK, 4.9300, Basic Materials, Silver
GGB, 4.3200, Basic Materials, Steel
HMY, 4.2700, Basic Materials, Gold
IAG, 3.4900, Basic Materials, Gold
LXU, 3.9800, Basic Materials, Chemicals
MTL, 1.9000, Basic Materials, Steel
MUX, 1.1600, Basic Materials, Other Precious Metals & Mining
VNTR, 4.1100, Basic Materials, Specialty Chemicals
AHC, 2.4500, Communication Services, Publishing
CCO, 1.9400, Communication Services, Advertising Agencies
CEL, 3.6600, Communication Services, Telecom Services
EEX, 4.8300, Communication Services, Advertising Agencies
ESGC, 2.1000, Communication Services, Entertainment
EVC, 3.2400, Communication Services, Broadcasting
FENG, 1.4700, Communication Services, Internet Content & Information
GCI, 4.7500, Communication Services, Publishing
HCHC, 3.9700, Communication Services, Telecom Services
LEE, 1.9000, Communication Services, Publishing
TEF, 4.6200, Communication Services, Telecom Services
CHS, 2.3400, Consumer Cyclical, Apparel Retail
DS, 2.4400, Consumer Cyclical, Leisure
EXPR, 3.2700, Consumer Cyclical, Apparel Retail
JILL, 4.6500, Consumer Cyclical, Apparel Retail
RLH, 3.4200, Consumer Cyclical, Lodging
STON, 3.1300, Consumer Cyclical, Personal Services
ABEV, 2.9400, Consumer Defensive, Beverages—Brewers
BRFS, 4.2000, Consumer Defensive, Packaged Foods
RYB, 3.6399, Consumer Defensive, Education & Training Services
AMPY, 2.6100, Energy, Oil & Gas E&P
BPT, 3.5900, Energy, Oil & Gas Refining & Marketing
BTU, 3.8000, Energy, Thermal Coal
CPG, 3.1900, Energy, Oil & Gas E&P
DLNG, 2.8500, Energy, Oil & Gas Midstream
EGY, 2.9700, Energy, Oil & Gas E&P
ENLC, 4.1700, Energy, Oil & Gas Midstream
ERF, 3.7800, Energy, Oil & Gas E&P
EXTN, 4.8600, Energy, Oil & Gas Equipment & Services
FI, 3.2400, Energy, Oil & Gas Equipment & Services
FTK, 2.1100, Energy, Oil & Gas Equipment & Services
GLOG, 4.5000, Energy, Oil & Gas Midstream
GLOP, 3.4500, Energy, Oil & Gas Midstream
HLX, 4.7500, Energy, Oil & Gas Equipment & Services
IO, 2.9700, Energy, Oil & Gas Equipment & Services
KOS, 2.5800, Energy, Oil & Gas E&P
MVO, 3.9499, Energy, Oil & Gas E&P
NEX, 3.8500, Energy, Oil & Gas Equipment & Services
NGL, 2.7200, Energy, Oil & Gas Refining & Marketing
NINE, 2.9200, Energy, Oil & Gas Equipment & Services
NNA, 3.6600, Energy, Oil & Gas Midstream
NR, 2.8000, Energy, Oil & Gas Equipment & Services
NRT, 4.1000, Energy, Oil & Gas Equipment & Services
OSG, 2.1600, Energy, Oil & Gas Midstream
PBT, 3.8100, Energy, Oil & Gas E&P
PHX, 3.1400, Energy, Oil & Gas E&P
PVL, 1.1800, Energy, Oil & Gas E&P
QEP, 3.3000, Energy, Oil & Gas E&P
RIG, 3.5400, Energy, Oil & Gas Drilling
SD, 4.8800, Energy, Oil & Gas E&P
SJT, 3.8000, Energy, Oil & Gas E&P
SWN, 4.1400, Energy, Oil & Gas E&P
TK, 2.7300, Energy, Oil & Gas Midstream
TTI, 2.2000, Energy, Oil & Gas Equipment & Services
UGP, 4.4000, Energy, Oil & Gas Refining & Marketing
VOC, 2.7100, Energy, Oil & Gas E&P
WTI, 2.7200, Energy, Oil & Gas E&P
YPF, 4.2900, Energy, Oil & Gas Integrated
AEG, 4.3200, Financial Services, Insurance—Diversified
