Ticker, Price, Sector, Industry
BEST, 2.5000, Industrials, 
CHU, 5.45, , 
FIT, 6.99, , 
WPX, 9.11, , 
CCO, 1.9400, Communication Services, Advertising Agencies
EEX, 4.8300, Communication Services, Advertising Agencies
QUOT, 9.80, Communication Services, Advertising Agencies
ERJ, 7.06, Industrials, Aerospace & Defense
GOL, 9.35, Industrials, Airlines
ACH, 8.11, Basic Materials, Aluminum
CHS, 2.3400, Consumer Cyclical, Apparel Retail
EXPR, 3.2700, Consumer Cyclical, Apparel Retail
JILL, 4.6500, Consumer Cyclical, Apparel Retail
JP, 2.3000, Financial Services, Asset Management
KYN, 6.70, Financial Services, Asset Management
MN, 6.61, Financial Services, Asset Management
PZN, 8.92, Financial Services, Asset Management
SFE, 7.60, Financial Services, Asset Management
RENN, 7.77, Consumer Cyclical, Auto & Truck Dealerships
AXL, 9.83, Consumer Cyclical, Auto Parts
HZN, 9.63, Consumer Cyclical, Auto Parts
BBVA, 5.29, Financial Services, Banks—Diversified
BCS, 8.07, Financial Services, Banks—Diversified
ING, 9.36, Financial Services, Banks—Diversified
MUFG, 4.8400, Financial Services, Banks—Diversified
NWG, 4.5700, Financial Services, Banks—Diversified
SAN, 3.3500, Financial Services, Banks—Diversified
SMFG, 6.52, Financial Services, Banks—Diversified
BBAR, 2.9500, Financial Services, Banks—Regional
BBD, 4.8600, Financial Services, Banks—Regional
BSBR, 7.72, Financial Services, Banks—Regional
BSMX, 5.20, Financial Services, Banks—Regional
FBP, 9.87, Financial Services, Banks—Regional
ITUB, 5.25, Financial Services, Banks—Regional
LYG, 1.9900, Financial Services, Banks—Regional
MFG, 2.8400, Financial Services, Banks—Regional
SUPV, 1.8600, Financial Services, Banks—Regional
ABEV, 2.9400, Consumer Defensive, Beverages—Brewers
ETM, 5.06, Communication Services, Broadcasting
EVC, 3.2400, Communication Services, Broadcasting
TV, 8.13, Communication Services, Broadcasting
CX, 6.43, Basic Materials, Building Materials
LOMA, 5.39, Basic Materials, Building Materials
AFI, 4.4900, Industrials, Building Products & Equipment
ACCO, 8.95, Industrials, Business Equipment & Supplies
PBI, 9.23, Industrials, Business Equipment & Supplies
NMR, 5.67, Financial Services, Capital Markets
LXU, 3.9800, Basic Materials, Chemicals
RYAM, 8.73, Basic Materials, Chemicals
SXC, 5.73, Basic Materials, Coking Coal
NOK, 4.3300, Technology, Communication Equipment
HBM, 6.07, Basic Materials, Copper
BBDC, 9.15, Financial Services, Credit Services
FINV, 4.1100, Financial Services, Credit Services
QD, 2.7200, Financial Services, Credit Services
YRD, 4.1200, Financial Services, Credit Services
CO, 4.1300, Healthcare, Diagnostics & Research
ENZ, 3.3300, Healthcare, Diagnostics & Research
AMRX, 5.17, Healthcare, Drug Manufacturers—Specialty & Generic
HEXO, 7.95, Healthcare, Drug Manufacturers—Specialty & Generic
LCI, 6.40, Healthcare, Drug Manufacturers—Specialty & Generic
NEW, 7.29, Consumer Defensive, Education & Training Services
RYB, 3.6399, Consumer Defensive, Education & Training Services
UTI, 6.51, Consumer Defensive, Education & Training Services
BW, 6.37, Industrials, Electrical Equipment & Parts
CLS, 9.00, Technology, Electronic Components
HIL, 2.3100, Industrials, Engineering & Construction
ORN, 5.90, Industrials, Engineering & Construction
AMC, 7.17, Communication Services, Entertainment
ESGC, 2.1000, Communication Services, Entertainment
TWI, 7.50, Industrials, Farm & Heavy Construction Machinery
AGRO, 8.02, Consumer Defensive, Farm Products
CSPR, 8.00, Consumer Cyclical, Furnishings, Fixtures & Appliances
AGS, 6.21, Consumer Cyclical, Gambling
AGI, 7.98, Basic Materials, Gold
AUY, 4.7900, Basic Materials, Gold
CDE, 9.19, Basic Materials, Gold
GFI, 9.14, Basic Materials, Gold
HL, 5.98, Basic Materials, Gold
HMY, 4.2700, Basic Materials, Gold
IAG, 3.4900, Basic Materials, Gold
KGC, 7.05, Basic Materials, Gold
SAND, 6.30, Basic Materials, Gold
CSLT, 1.8300, Healthcare, Health Information Services
MPLN, 8.00, Healthcare, Healthcare Plans
COTY, 7.05, Consumer Defensive, Household & Personal Products
WIT, 6.43, Technology, Information Technology Services
AEG, 4.3200, Financial Services, Insurance—Diversified
CIA, 5.81, Financial Services, Insurance—Life
GNW, 3.6100, Financial Services, Insurance—Life
HRTG, 9.32, Financial Services, Insurance—Property & Casualty
TPRE, 9.87, Financial Services, Insurance—Reinsurance
MBI, 6.59, Financial Services, Insurance—Specialty
FENG, 1.4700, Communication Services, Internet Content & Information
LEAF, 6.47, Communication Services, Internet Content & Information
SOGO, 8.32, Communication Services, Internet Content & Information
DS, 2.4400, Consumer Cyclical, Leisure
RLH, 3.4200, Consumer Cyclical, Lodging
ASC, 3.6000, Industrials, Marine Shipping
CMRE, 8.55, Industrials, Marine Shipping
DSX, 2.6400, Industrials, Marine Shipping
GNK, 8.06, Industrials, Marine Shipping
NAT, 3.2100, Industrials, Marine Shipping
NM, 4.8000, Industrials, Marine Shipping
SB, 2.1800, Industrials, Marine Shipping
SFL, 6.84, Industrials, Marine Shipping
SMHI, 3.4300, Industrials, Marine Shipping
BKD, 5.50, Healthcare, Medical Care Facilities
CYH, 9.32, Healthcare, Medical Care Facilities
GEN, 0.7549, Healthcare, Medical Care Facilities
AP, 7.52, Industrials, Metal Fabrication
RIG, 3.5400, Energy, Oil & Gas Drilling
AMPY, 2.6100, Energy, Oil & Gas E&P
AR, 7.42, Energy, Oil & Gas E&P
BSM, 9.73, Energy, Oil & Gas E&P
CPG, 3.1900, Energy, Oil & Gas E&P
CRK, 5.0000, Energy, Oil & Gas E&P
EGY, 2.9700, Energy, Oil & Gas E&P
ERF, 3.7800, Energy, Oil & Gas E&P
KOS, 2.5800, Energy, Oil & Gas E&P
KRP, 8.82, Energy, Oil & Gas E&P
MGY, 9.85, Energy, Oil & Gas E&P
MRO, 7.93, Energy, Oil & Gas E&P
MVO, 3.9499, Energy, Oil & Gas E&P
PBT, 3.8100, Energy, Oil & Gas E&P
PHX, 3.1400, Energy, Oil & Gas E&P
PVL, 1.1800, Energy, Oil & Gas E&P
QEP, 3.3000, Energy, Oil & Gas E&P
RRC, 9.55, Energy, Oil & Gas E&P
SD, 4.8800, Energy, Oil & Gas E&P
SJT, 3.8000, Energy, Oil & Gas E&P
SWN, 4.1400, Energy, Oil & Gas E&P
TALO, 9.35, Energy, Oil & Gas E&P
VET, 5.0200, Energy, Oil & Gas E&P
VOC, 2.7100, Energy, Oil & Gas E&P
