Ticker, Price, Sector, Industry
BEST, 2.5000, Industrials, 
MVO, 3.9499, , 
CCO, 1.9400, Communication Services, Advertising Agencies
EEX, 4.8300, Communication Services, Advertising Agencies
CAAP, 4.1000, Industrials, Airports & Air Services
CHS, 2.3400, Consumer Cyclical, Apparel Retail
EXPR, 3.2700, Consumer Cyclical, Apparel Retail
JILL, 4.6500, Consumer Cyclical, Apparel Retail
CIF, 2.5200, Financial Services, Asset Management
CMU, 4.4900, Financial Services, Asset Management
DHF, 3.0000, Financial Services, Asset Management
EQS, 1.8802, Financial Services, Asset Management
FGB, 3.5861, Financial Services, Asset Management
FPL, 4.7800, Financial Services, Asset Management
HIO, 4.9900, Financial Services, Asset Management
IRR, 2.8700, Financial Services, Asset Management
JP, 2.3000, Financial Services, Asset Management
MGF, 4.5200, Financial Services, Asset Management
MIE, 2.8000, Financial Services, Asset Management
MIN, 3.7600, Financial Services, Asset Management
PIM, 4.2200, Financial Services, Asset Management
PPR, 4.5500, Financial Services, Asset Management
PPT, 4.6800, Financial Services, Asset Management
SMM, 4.8300, Financial Services, Asset Management
VVR, 4.1700, Financial Services, Asset Management
KFS, 4.5700, Consumer Cyclical, Auto & Truck Dealerships
MUFG, 4.8400, Financial Services, Banks—Diversified
NWG, 4.5700, Financial Services, Banks—Diversified
SAN, 3.3500, Financial Services, Banks—Diversified
BBAR, 2.9500, Financial Services, Banks—Regional
BBD, 4.8600, Financial Services, Banks—Regional
BBDO, 4.2300, Financial Services, Banks—Regional
LYG, 1.9900, Financial Services, Banks—Regional
MFG, 2.8400, Financial Services, Banks—Regional
SUPV, 1.8600, Financial Services, Banks—Regional
ABEV, 2.9400, Consumer Defensive, Beverages—Brewers
EVC, 3.2400, Communication Services, Broadcasting
AFI, 4.4900, Industrials, Building Products & Equipment
JMP, 4.3500, Financial Services, Capital Markets
LXU, 3.9800, Basic Materials, Chemicals
NOK, 4.3300, Technology, Communication Equipment
IRS, 4.2500, Industrials, Conglomerates
ELVT, 4.4000, Financial Services, Credit Services
FINV, 4.1100, Financial Services, Credit Services
JT, 3.5900, Financial Services, Credit Services
QD, 2.7200, Financial Services, Credit Services
WEI, 1.9600, Financial Services, Credit Services
XYF, 2.5000, Financial Services, Credit Services
YRD, 4.1200, Financial Services, Credit Services
CO, 4.1300, Healthcare, Diagnostics & Research
ENZ, 3.3300, Healthcare, Diagnostics & Research
FEDU, 1.8500, Consumer Defensive, Education & Training Services
ONE, 3.9900, Consumer Defensive, Education & Training Services
RYB, 3.6399, Consumer Defensive, Education & Training Services
STG, 2.3700, Consumer Defensive, Education & Training Services
AENZ, 2.4100, Industrials, Engineering & Construction
HIL, 2.3100, Industrials, Engineering & Construction
ESGC, 2.1000, Communication Services, Entertainment
LND, 4.3800, Consumer Defensive, Farm Products
AUY, 4.7900, Basic Materials, Gold
HMY, 4.2700, Basic Materials, Gold
IAG, 3.4900, Basic Materials, Gold
CSLT, 1.8300, Healthcare, Health Information Services
AEG, 4.3200, Financial Services, Insurance—Diversified
GNW, 3.6100, Financial Services, Insurance—Life
FENG, 1.4700, Communication Services, Internet Content & Information
LITB, 3.2000, Consumer Cyclical, Internet Retail
MOGU, 3.4700, Consumer Cyclical, Internet Retail
DS, 2.4400, Consumer Cyclical, Leisure
DVD, 2.1400, Consumer Cyclical, Leisure
RLH, 3.4200, Consumer Cyclical, Lodging
ASC, 3.6000, Industrials, Marine Shipping
DSX, 2.6400, Industrials, Marine Shipping
NAT, 3.2100, Industrials, Marine Shipping
NM, 4.8000, Industrials, Marine Shipping
SB, 2.1800, Industrials, Marine Shipping
SMHI, 3.4300, Industrials, Marine Shipping
CCM, 4.5000, Healthcare, Medical Care Facilities
GEN, 0.7549, Healthcare, Medical Care Facilities
CNF, 3.4300, Financial Services, Mortgage Finance
BORR, 0.9960, Energy, Oil & Gas Drilling
ICD, 4.1400, Energy, Oil & Gas Drilling
RIG, 3.5400, Energy, Oil & Gas Drilling
AMPY, 2.6100, Energy, Oil & Gas E&P
CPG, 3.1900, Energy, Oil & Gas E&P
EGY, 2.9700, Energy, Oil & Gas E&P
ERF, 3.7800, Energy, Oil & Gas E&P
KOS, 2.5800, Energy, Oil & Gas E&P
MTR, 4.7800, Energy, Oil & Gas E&P
PBT, 3.8100, Energy, Oil & Gas E&P
PHX, 3.1400, Energy, Oil & Gas E&P
PRT, 3.1000, Energy, Oil & Gas E&P
PVL, 1.1800, Energy, Oil & Gas E&P
QEP, 3.3000, Energy, Oil & Gas E&P
SD, 4.8800, Energy, Oil & Gas E&P
SJT, 3.8000, Energy, Oil & Gas E&P
SWN, 4.1400, Energy, Oil & Gas E&P
VIST, 2.7000, Energy, Oil & Gas E&P
VOC, 2.7100, Energy, Oil & Gas E&P
WTI, 2.7200, Energy, Oil & Gas E&P
CELP, 2.9300, Energy, Oil & Gas Equipment & Services
EXTN, 4.8600, Energy, Oil & Gas Equipment & Services
