Ticker, Price, Sector, Industry
AAIC, 3.7000, Real Estate, REIT—Mortgage
ABEV, 2.9400, Consumer Defensive, Beverages—Brewers
AEG, 4.3200, Financial Services, Insurance—Diversified
AENZ, 2.4100, Industrials, Engineering & Construction
AFI, 4.4900, Industrials, Building Products & Equipment
AHC, 2.4500, Communication Services, Publishing
AHT, 3.0000, Real Estate, REIT—Hotel & Motel
AIV, 4.8700, Real Estate, REIT—Residential
AMPY, 2.6100, Energy, Oil & Gas E&P
ANH, 2.6800, Real Estate, REIT—Mortgage
ARC, 2.1900, Industrials, Specialty Business Services
ASC, 3.6000, Industrials, Marine Shipping
AT, 2.9800, Utilities, Utilities—Independent Power Producers
AUY, 4.7900, Basic Materials, Gold
BBAR, 2.9500, Financial Services, Banks—Regional
BBD, 4.8600, Financial Services, Banks—Regional
BBDO, 4.2300, Financial Services, Banks—Regional
BEST, 2.5000, Industrials, 
BORR, 0.9960, Energy, Oil & Gas Drilling
BPT, 3.5900, Energy, Oil & Gas Refining & Marketing
BRFS, 4.2000, Consumer Defensive, Packaged Foods
BTU, 3.8000, Energy, Thermal Coal
CAAP, 4.1000, Industrials, Airports & Air Services
CCM, 4.5000, Healthcare, Medical Care Facilities
CCO, 1.9400, Communication Services, Advertising Agencies
CEL, 3.6600, Communication Services, Telecom Services
CELP, 2.9300, Energy, Oil & Gas Equipment & Services
CEPU, 2.3900, Utilities, Utilities—Regulated Electric
CHRA, 3.7000, Industrials, Waste Management
CHS, 2.3400, Consumer Cyclical, Apparel Retail
CIF, 2.5200, Financial Services, Asset Management
CIG, 2.6500, Utilities, Utilities—Diversified
CMCM, 4.2300, Technology, Software—Application
CMU, 4.4900, Financial Services, Asset Management
CNF, 3.4300, Financial Services, Mortgage Finance
CO, 4.1300, Healthcare, Diagnostics & Research
CPG, 3.1900, Energy, Oil & Gas E&P
CSLT, 1.8300, Healthcare, Health Information Services
CTK, 3.4600, Technology, Software—Application
DHF, 3.0000, Financial Services, Asset Management
DHX, 2.5100, Industrials, Staffing & Employment Services
DLNG, 2.8500, Energy, Oil & Gas Midstream
DNK, 3.0600, Real Estate, Real Estate Services
DS, 2.4400, Consumer Cyclical, Leisure
DSX, 2.6400, Industrials, Marine Shipping
DVD, 2.1400, Consumer Cyclical, Leisure
EDN, 3.7000, Utilities, Utilities—Regulated Electric
EEX, 4.8300, Communication Services, Advertising Agencies
EGY, 2.9700, Energy, Oil & Gas E&P
ELVT, 4.4000, Financial Services, Credit Services
ENIC, 3.8700, Utilities, Utilities—Regulated Electric
ENLC, 4.1700, Energy, Oil & Gas Midstream
ENZ, 3.3300, Healthcare, Diagnostics & Research
EQS, 1.8802, Financial Services, Asset Management
ERF, 3.7800, Energy, Oil & Gas E&P
ESGC, 2.1000, Communication Services, Entertainment
EVC, 3.2400, Communication Services, Broadcasting
EXK, 4.9300, Basic Materials, Silver
EXPR, 3.2700, Consumer Cyclical, Apparel Retail
EXTN, 4.8600, Energy, Oil & Gas Equipment & Services
FEDU, 1.8500, Consumer Defensive, Education & Training Services
FENG, 1.4700, Communication Services, Internet Content & Information
FGB, 3.5861, Financial Services, Asset Management
FI, 3.2400, Energy, Oil & Gas Equipment & Services
FINV, 4.1100, Financial Services, Credit Services
FPL, 4.7800, Financial Services, Asset Management
FTK, 2.1100, Energy, Oil & Gas Equipment & Services
GCI, 4.7500, Communication Services, Publishing
GEN, 0.7549, Healthcare, Medical Care Facilities
GGB, 4.3200, Basic Materials, Steel
GLOG, 4.5000, Energy, Oil & Gas Midstream
GLOP, 3.4500, Energy, Oil & Gas Midstream
GNW, 3.6100, Financial Services, Insurance—Life
HCHC, 3.9700, Communication Services, Telecom Services
HIL, 2.3100, Industrials, Engineering & Construction
HIO, 4.9900, Financial Services, Asset Management
HLX, 4.7500, Energy, Oil & Gas Equipment & Services
HMY, 4.2700, Basic Materials, Gold
IAG, 3.4900, Basic Materials, Gold
ICD, 4.1400, Energy, Oil & Gas Drilling
IO, 2.9700, Energy, Oil & Gas Equipment & Services
IRR, 2.8700, Financial Services, Asset Management
IRS, 4.2500, Industrials, Conglomerates
IVR, 3.8300, Real Estate, REIT—Mortgage
JILL, 4.6500, Consumer Cyclical, Apparel Retail
JMP, 4.3500, Financial Services, Capital Markets
JP, 2.3000, Financial Services, Asset Management
JT, 3.5900, Financial Services, Credit Services
KFS, 4.5700, Consumer Cyclical, Auto & Truck Dealerships
KOS, 2.5800, Energy, Oil & Gas E&P
LEE, 1.9000, Communication Services, Publishing
LEJU, 3.2300, Real Estate, Real Estate Services
LFT, 3.2300, Real Estate, REIT—Mortgage
LITB, 3.2000, Consumer Cyclical, Internet Retail
LND, 4.3800, Consumer Defensive, Farm Products
LUB, 3.1600, Consumer Cyclical, Restaurants
LXU, 3.9800, Basic Materials, Chemicals
LYG, 1.9900, Financial Services, Banks—Regional
MFA, 3.9200, Real Estate, REIT—Mortgage
MFG, 2.8400, Financial Services, Banks—Regional
MGF, 4.5200, Financial Services, Asset Management
MIE, 2.8000, Financial Services, Asset Management
MIN, 3.7600, Financial Services, Asset Management
MITT, 3.6000, Real Estate, REIT—Mortgage
MOGU, 3.4700, Consumer Cyclical, Internet Retail
MTL, 1.9000, Basic Materials, Steel
MTR, 4.7800, Energy, Oil & Gas E&P
MUFG, 4.8400, Financial Services, Banks—Diversified
MUX, 1.1600, Basic Materials, Other Precious Metals & Mining
MVO, 3.9499, Energy, Oil & Gas E&P
NAT, 3.2100, Industrials, Marine Shipping
NEX, 3.8500, Energy, Oil & Gas Equipment & Services
NGL, 2.7200, Energy, Oil & Gas Refining & Marketing
NINE, 2.9200, Energy, Oil & Gas Equipment & Services
NL, 4.8200, Industrials, Security & Protection Services
NM, 4.8000, Industrials, Marine Shipping
NNA, 3.6600, Energy, Oil & Gas Midstream
NOK, 4.3300, Technology, Communication Equipment
NR, 2.8000, Energy, Oil & Gas Equipment & Services
NRT, 4.1000, Energy, Oil & Gas Equipment & Services
NWG, 4.5700, Financial Services, Banks—Diversified
ONE, 3.9900, Consumer Defensive, Education & Training Services
OSG, 2.1600, Energy, Oil & Gas Midstream
PBT, 3.8100, Energy, Oil & Gas E&P
PHX, 3.1400, Energy, Oil & Gas E&P
PIM, 4.2200, Financial Services, Asset Management
PPR, 4.5500, Financial Services, Asset Management
PPT, 4.6800, Financial Services, Asset Management
PRT, 3.1000, Energy, Oil & Gas E&P
PVL, 1.1800, Energy, Oil & Gas E&P
QD, 2.7200, Financial Services, Credit Services
QEP, 3.3000, Energy, Oil & Gas E&P
RIG, 3.5400, Energy, Oil & Gas Drilling
RLH, 3.4200, Consumer Cyclical, Lodging
RRD, 2.4500, Industrials, Specialty Business Services
RYB, 3.6399, Consumer Defensive, Education & Training Services
SAN, 3.3500, Financial Services, Banks—Diversified
SB, 2.1800, Industrials, Marine Shipping
SD, 4.8800, Energy, Oil & Gas E&P
SJT, 3.8000, Energy, Oil & Gas E&P
SMHI, 3.4300, Industrials, Marine Shipping
SMM, 4.8300, Financial Services, Asset Management
SOS, 3.9800, Technology, Software—Infrastructure
STG, 2.3700, Consumer Defensive, Education & Training Services
STON, 3.1300, Consumer Cyclical, Personal Services
SUPV, 1.8600, Financial Services, Banks—Regional
SWN, 4.1400, Energy, Oil & Gas E&P
TEF, 4.6200, Communication Services, Telecom Services
TK, 2.7300, Energy, Oil & Gas Midstream
TTI, 2.2000, Energy, Oil & Gas Equipment & Services
UGP, 4.4000, Energy, Oil & Gas Refining & Marketing
VIST, 2.7000, Energy, Oil & Gas E&P
VNTR, 4.1100, Basic Materials, Specialty Chemicals
VOC, 2.7100, Energy, Oil & Gas E&P
VVR, 4.1700, Financial Services, Asset Management
WEI, 1.9600, Financial Services, Credit Services
WMC, 3.0800, Real Estate, REIT—Mortgage
WTI, 2.7200, Energy, Oil & Gas E&P
XAN, 3.9400, Real Estate, REIT—Mortgage
XIN, 2.3800, Real Estate, Real Estate—Development
XYF, 2.5000, Financial Services, Credit Services
YPF, 4.2900, Energy, Oil & Gas Integrated
YRD, 4.1200, Financial Services, Credit Services
