('AAIC, 3.7000')
('ABEO, 2.6700')
('ABEV, 2.9400')
('ABIO, 4.7600')
('ABUS, 4.2900')
('ACCO, 8.95')
('ACER, 4.0500')
('ACH, 8.11')
('ACIU, 6.82')
('ACOR, 7.36')
('ACRX, 2.3500')
('ACTG, 7.16')
('ADAP, 6.26')
('ADMA, 2.6300')
('ADMP, 1.3000')
('ADMS, 6.00')
('ADT, 9.38')
('ADTX, 3.4500')
('AEG, 4.3200')
('AEZS, 1.1800')
('AFI, 4.4900')
('AFMD, 5.99')
('AGEN, 5.18')
('AGFS, 2.2800')
('AGI, 7.98')
('AGLE, 7.72')
('AGRO, 8.02')
('AGRX, 3.0000')
('AGS, 6.21')
('AGTC, 5.35')
('AHC, 2.4500')
('AHT, 3.0000')
('AIV, 4.8700')
('AKBA, 4.57')
('ALSK, 3.2800')
('ALTG, 9.97')
('ALTO, 7.90')
('AM, 8.01')
('AMC, 7.17')
('AMPY, 2.6100')
('AMRN, 8.50')
('AMRX, 5.17')
('AMTX, 7.59')
('ANH, 2.6800')
('ANTE, 3.5000')
('AP, 7.52')
('APTO, 4.5400')
('APTS, 7.67')
('APTX, 3.9700')
('AQB, 9.78')
('AQMS, 6.08')
('AQST, 6.20')
('AR, 7.42')
('ARC, 2.1900')
('ARCO, 5.38')
('ARDX, 7.31')
('ARLO, 8.52')
('ARLP, 6.31')
('AROC, 9.51')
('ASC, 3.6000')
('ASMB, 6.28')
('ASRT, 0.8797')
('ASRV, 3.8600')
('ASUR, 9.15')
('ASYS, 7.96')
('AT, 2.9800')
('ATAX, 4.6000')
('ATHX, 2.7500')
('ATOS, 4.0000')
('ATRS, 4.7400')
('AUTO, 3.3200')
('AUY, 4.7900')
('AVCT, 8.37')
('AVDL, 8.95')
('AVEO, 9.25')
('AWH, 8.09')
('AWRE, 4.99')
('AXAS, 3.6250')
('AXL, 9.83')
('AYRO, 7.35')
('BBAR, 2.9500')
('BBD, 4.8600')
('BBDC, 9.15')
('BBVA, 5.29')
('BBW, 5.25')
('BCLI, 7.32')
('BCRX, 9.99')
('BCS, 8.07')
('BDSI, 4.1900')
('BEST, 2.5000')
('BGCP, 4.0795')
('BHR, 5.40')
('BIOC, 7.38')
('BKCC, 3.4000')
('BKD, 5.50')
('BKEP, 2.0900')
('BMRA, 7.63')
('BNED, 6.91')
('BPT, 3.5900')
('BRFS, 4.2000')
('BRY, 4.3600')
('BSBR, 7.72')
('BSGM, 5.09')
('BSM, 9.73')
('BSMX, 5.20')
('BSQR, 4.26')
('BTU, 3.8000')
('BW, 6.37')
('BXRX, 1.7700')
('CAAS, 6.77')
('CALA, 3.1900')
('CAN, 6.91')
('CAPR, 6.89')
('CASA, 8.34')
('CATB, 3.3100')
('CBAT, 7.78')
('CBAY, 6.09')
('CBIO, 5.95')
('CCLP, 1.6900')
('CCO, 1.9400')
('CCRN, 9.43')
('CDE, 9.19')
('CDEV, 3.4500')
('CDTX, 2.5500')
('CDXC, 5.27')
('CECE, 7.19')
('CEIX, 9.39')
('CEL, 3.6600')
('CEMI, 7.77')
('CERC, 3.4300')
('CERS, 7.65')
('CFRX, 5.19')
('CHMA, 4.4653')
('CHS, 2.3400')
('CHU, 5.45')
('CIA, 5.81')
('CIG, 2.6500')
('CLBS, 2.2700')
('CLIR, 4.5300')
('CLMT, 3.9000')
('CLNY, 5.39')
('CLS, 9.00')
('CLSD, 3.4700')
('CLSN, 1.9300')
('CLVS, 9.35')
('CMCM, 4.2300')
('CMO, 5.69')
('CMRE, 8.55')
('CMRX, 9.95')
('CNCE, 6.99')
('CNDT, 5.20')
('CNET, 2.9400')
('CNSL, 5.96')
('CNTY, 8.63')
('CO, 4.1300')
('COTY, 7.05')
('CPG, 3.1900')
('CPLG, 7.82')
('CPLP, 9.92')
('CPRX, 4.4200')
('CPSS, 4.2300')
('CRBP, 2.6400')
('CRESY, 5.12')
('CRK, 5.0000')
('CRNT, 4.83')
('CRVS, 4.1000')
('CRWS, 8.00')
('CSLT, 1.8300')
('CSPR, 8.00')
('CTG, 6.67')
('CTIC, 3.9400')
('CTMX, 8.25')
('CVE, 6.43')
('CVGI, 9.32')
('CX, 6.43')
('CXDC, 1.1400')
('CXW, 7.29')
('CYCN, 4.5200')
('CYH, 9.32')
('DAKT, 5.28')
('DBVT, 5.91')
('DGLY, 2.7100')
('DHC, 4.4600')
('DHT, 5.70')
('DHX, 2.5100')
('DLNG, 2.8500')
('DNOW, 9.76')
('DRH, 9.01')
('DRRX, 2.5300')
('DS, 2.4400')
('DSKE, 5.65')
('DSX, 2.6400')
('DTEA, 5.0200')
('DVAX, 9.73')
('DXYN, 4.4000')
('DYAI, 6.06')
('EDAP, 8.64')
('EEX, 4.8300')
('EGY, 2.9700')
('EIGI, 9.48')
('EMKR, 6.17')
('ENBL, 5.75')
('ENDP, 8.95')
('ENG, 7.25')
