('AACG, 6.17')
('AACQW, 2.6500')
('AAIC, 3.7000')
('AAME, 4.90')
('ABEO, 2.6700')
('ABEV, 2.9400')
('ABIO, 4.7600')
('ABUS, 4.2900')
('ACACW, 2.5300')
('ACCO, 8.95')
('ACER, 4.0500')
('ACEVW, 2.6300')
('ACH, 8.11')
('ACIU, 6.82')
('ACKIW, 1.2600')
('ACOR, 7.36')
('ACRX, 2.3500')
('ACST, 0.7950')
('ACTCW, 8.11')
('ACTG, 7.16')
('ADAP, 6.26')
('ADES, 5.98')
('ADIL, 2.7400')
('ADILW, 0.3700')
('ADMA, 2.6300')
('ADMP, 1.3000')
('ADMS, 6.00')
('ADNWW, 3.0300')
('ADOCR, 0.4800')
('ADOCW, 0.8300')
('ADT, 9.38')
('ADTX, 3.4500')
('ADVWW, 2.3400')
('ADXS, 1.0150')
('AEG, 4.3200')
('AEHL, 3.4200')
('AEHR, 2.5700')
('AEI, 6.05')
('AEMD, 2.8522')
('AENZ, 2.4100')
('AESE, 2.2600')
('AEY, 3.1400')
('AEZS, 1.1800')
('AFI, 4.4900')
('AFIN, 7.85')
('AFMD, 5.99')
('AGBAR, 0.5000')
('AGBAW, 0.2999')
('AGCWW, 5.21')
('AGEN, 5.18')
('AGFS, 2.2800')
('AGI, 7.98')
('AGLE, 7.72')
('AGRO, 8.02')
('AGRX, 3.0000')
('AGS, 6.21')
('AGTC, 5.35')
('AHACW, 1.6300')
('AHC, 2.4500')
('AHPI, 6.82')
('AHT, 3.0000')
('AIH, 6.12')
('AIHS, 1.5300')
('AIKI, 1.5993')
('AIRTW, 0.0800')
('AIV, 4.8700')
('AKBA, 4.57')
('AKER, 3.2100')
('AKTX, 2.8600')
('AKU, 3.2200')
('ALACR, 0.8700')
('ALACW, 0.2490')
('ALIM, 7.97')
('ALJJ, 1.3700')
('ALNA, 2.0500')
('ALRN, 2.2400')
('ALSK, 3.2800')
('ALTG, 9.97')
('ALTO, 7.90')
('ALTUW, 2.2400')
('ALYA, 2.6200')
('AM, 8.01')
('AMC, 7.17')
('AMCIW, 0.6700')
('AMHCW, 1.2356')
('AMPY, 2.6100')
('AMRN, 8.50')
('AMRX, 5.17')
('AMST, 6.20')
('AMTX, 7.59')
('ANCN, 2.8800')
('ANDAR, 0.9900')
('ANDAW, 0.4210')
('ANH, 2.6800')
('ANIX, 4.60')
('ANPC, 6.17')
('ANTE, 3.5000')
('ANY, 3.0435')
('AOD, 9.28')
('AP, 7.52')
('APM, 3.7000')
('APOP, 3.4000')
('APOPW, 0.0800')
('APRE, 6.89')
('APTO, 4.5400')
('APTS, 7.67')
('APTX, 3.9700')
('APWC, 7.10')
('APXTW, 1.7060')
('AQB, 9.78')
('AQMS, 6.08')
('AQST, 6.20')
('AR, 7.42')
('ARBGW, 1.5001')
('ARC, 2.1900')
('ARCO, 5.38')
('ARDS, 6.94')
('ARDX, 7.31')
('AREC, 6.59')
('ARKO, 9.92')
('ARKOW, 1.9000')
('ARL, 9.44')
('ARLO, 8.52')
('ARLP, 6.31')
('AROC, 9.51')
('ARPO, 1.6400')
('ARTL, 1.2000')
('ARTLW, 0.1400')
('ARTW, 3.2000')
('ASC, 3.6000')
('ASG, 9.23')
('ASLEW, 2.6600')
('ASLN, 3.0500')
('ASMB, 6.28')
('ASPU, 9.60')
('ASRT, 0.8797')
('ASRV, 3.8600')
('ASTC, 2.7200')
('ASUR, 9.15')
('ASX, 7.60')
('ASYS, 7.96')
('AT, 2.9800')
('ATAX, 4.6000')
('ATCX, 9.33')
('ATHE, 1.9700')
('ATHX, 2.7500')
('ATIF, 1.1400')
('ATNF, 5.12')
('ATNFW, 0.5000')
('ATOS, 4.0000')
('ATRS, 4.7400')
