('ACKIW', '1.2600')
('ACRX', '2.3500')
('ACST', '0.7950')
('ADILW', '0.3700')
('ADMP', '1.3000')
('ADOCR', '0.4800')
('ADOCW', '0.8300')
('ADVWW', '2.3400')
('ADXS', '1.0150')
('AESE', '2.2600')
('AEZS', '1.1800')
('AGBAR', '0.5000')
('AGBAW', '0.2999')
('AGFS', '2.2800')
('AHACW', '1.6300')
('AIHS', '1.5300')
('AIKI', '1.5993')
('AIRTW', '0.0800')
('ALACR', '0.8700')
('ALACW', '0.2490')
('ALJJ', '1.3700')
('ALNA', '2.0500')
('ALRN', '2.2400')
('ALTUW', '2.2400')
('AMCIW', '0.6700')
('AMHCW', '1.2356')
('ANDAR', '0.9900')
('ANDAW', '0.4210')
('APOPW', '0.0800')
('APXTW', '1.7060')
('ARBGW', '1.5001')
('ARKOW', '1.9000')
('ARPO', '1.6400')
('ARTL', '1.2000')
('ARTLW', '0.1400')
('ASRT', '0.8797')
('ATHE', '1.9700')
('ATIF', '1.1400')
('ATNFW', '0.5000')
('AVCO', '1.3700')
('AVCTW', '0.2295')
('AVGR', '1.8800')
('AZRX', '1.5500')
('BBI', '1.3100')
('BCDAW', '0.8000')
('BENER', '0.5500')
('BENEW', '0.8000')
('BFIIW', '2.0500')
('BHAT', '1.4300')
('BHSEW', '1.1300')
('BHTG', '1.7900')
('BIMI', '2.1200')
('BIOL', '1.2200')
('BKEP', '2.0900')
('BLNKW', '0.75')
('BNGOW', '0.11')
('BOWXW', '2.2000')
('BREZR', '0.3399')
('BREZW', '1.3100')
('BRLIR', '0.5160')
('BRLIW', '0.9400')
('BROGW', '0.4100')
('BRPAW', '0.29')
('BRQS', '1.8800')
('BWACW', '1.6300')
('BXRX', '1.7700')
('BYFC', '2.2000')
('CAPAW', '1.9900')
('CCLP', '1.6900')
('CETX', '1.9985')
('CETXP', '2.2600')
('CETXW', '0.0951')
('CFIIW', '2.3500')
('CFMS', '1.3000')
('CHEK', '1.7400')
('CHEKZ', '0.0800')
('CHNR', '2.4105')
('CHPMW', '0.9800')
('CIDM', '1.8800')
('CIH', '2.3800')
('CJJD', '1.2800')
('CLBS', '2.2700')
('CLNNW', '2.0000')
('CLRB', '2.2400')
('CLRBZ', '0.0600')
('CLSN', '1.9300')
('CMLFW', '2.0000')
('COCP', '2.0450')
('COMSW', '1.2800')
('CONXW', '2.0700')
('CREX', '1.9100')
('CREXW', '0.4600')
('CRSAW', '1.4000')
('CRTDW', '1.8200')
('CSCW', '0.9800')
('CTAQW', '1.7900')
('CTHR', '2.3800')
('CTIB', '2.4400')
('CTRM', '0.8436')
('CTXR', '1.3200')
('CTXRW', '0.2699')
('CUENW', '1.4800')
('CWBR', '1.9200')
('CXDC', '1.1400')
('CYRN', '1.2800')
('DARE', '2.3600')
('DBDRW', '1.3300')
('DDMXW', '2.4500')
('DFFN', '1.3200')
('DFPHW', '2.2300')
('DOGZ', '2.1200')
('DRIOW', '0.0642')
('DRTT', '2.4300')
('DSACW', '2.1700')
('DSKEW', '0.0500')
('DYNT', '1.2900')
