('AACQW', '2.6500')
('AAME', '4.90')
('ABEO', '2.6700')
('ABIO', '4.7600')
('ABUS', '4.2900')
('ACACW', '2.5300')
('ACER', '4.0500')
('ACEVW', '2.6300')
('ACKIW', '1.2600')
('ACRX', '2.3500')
('ACST', '0.7950')
('ADIL', '2.7400')
('ADILW', '0.3700')
('ADMA', '2.6300')
('ADMP', '1.3000')
('ADNWW', '3.0300')
('ADOCR', '0.4800')
('ADOCW', '0.8300')
('ADTX', '3.4500')
('ADVWW', '2.3400')
('ADXS', '1.0150')
('AEHL', '3.4200')
('AEHR', '2.5700')
('AEMD', '2.8522')
('AESE', '2.2600')
('AEY', '3.1400')
('AEZS', '1.1800')
('AGBAR', '0.5000')
('AGBAW', '0.2999')
('AGFS', '2.2800')
('AGRX', '3.0000')
('AHACW', '1.6300')
('AIHS', '1.5300')
('AIKI', '1.5993')
('AIRTW', '0.0800')
('AKBA', '4.57')
('AKER', '3.2100')
('AKTX', '2.8600')
('AKU', '3.2200')
('ALACR', '0.8700')
('ALACW', '0.2490')
('ALJJ', '1.3700')
('ALNA', '2.0500')
('ALRN', '2.2400')
('ALSK', '3.2800')
('ALTUW', '2.2400')
('ALYA', '2.6200')
('AMCIW', '0.6700')
('AMHCW', '1.2356')
('ANCN', '2.8800')
('ANDAR', '0.9900')
('ANDAW', '0.4210')
('ANIX', '4.60')
('ANTE', '3.5000')
('ANY', '3.0435')
('APM', '3.7000')
('APOP', '3.4000')
('APOPW', '0.0800')
('APTO', '4.5400')
('APTX', '3.9700')
('APXTW', '1.7060')
('ARBGW', '1.5001')
('ARKOW', '1.9000')
('ARPO', '1.6400')
('ARTL', '1.2000')
('ARTLW', '0.1400')
('ARTW', '3.2000')
('ASLEW', '2.6600')
('ASLN', '3.0500')
('ASRT', '0.8797')
('ASRV', '3.8600')
('ASTC', '2.7200')
('ATAX', '4.6000')
('ATHE', '1.9700')
('ATHX', '2.7500')
('ATIF', '1.1400')
('ATNFW', '0.5000')
('ATOS', '4.0000')
('ATRS', '4.7400')
('AUTO', '3.3200')
('AVCO', '1.3700')
('AVCTW', '0.2295')
('AVGR', '1.8800')
('AWRE', '4.99')
('AXAS', '3.6250')
('AZRX', '1.5500')
('BBGI', '2.6500')
('BBI', '1.3100')
('BBIG', '3.7400')
('BCDA', '4.69')
('BCDAW', '0.8000')
('BDSI', '4.1900')
('BENER', '0.5500')
('BENEW', '0.8000')
('BFIIW', '2.0500')
('BGCP', '4.0795')
('BHAT', '1.4300')
('BHSEW', '1.1300')
('BHTG', '1.7900')
('BIMI', '2.1200')
('BIOL', '1.2200')
('BKCC', '3.4000')
('BKEP', '2.0900')
('BKYI', '4.3000')
('BLCM', '4.5900')
('BLIN', '3.5500')
('BLNKW', '0.75')
('BLRX', '3.5000')
('BLU', '3.7900')
('BNGOW', '0.11')
('BNTC', '4.4765')
('BOSC', '3.2900')
('BOWXW', '2.2000')
