Ticker, Price, Sector, Industry
BEST, 2.5000, Industrials, 
CHU, 5.45, , 
DCF, 8.89, , 
EFL, 9.29, , 
FIT, 6.99, , 
HGLB, 6.82, , 
IHTA, 9.18, , 
JEMD, 7.80, , 
JHAA, 9.86, , 
JHB, 9.26, , 
JMM, 7.25, , 
MDLQ, 7.96, , 
MDLX, 7.70, , 
NRGX, 9.00, , 
WPX, 9.11, , 
XFLT, 8.21, , 
CCO, 1.9400, Communication Services, Advertising Agencies
EEX, 4.8300, Communication Services, Advertising Agencies
QUOT, 9.80, Communication Services, Advertising Agencies
ERJ, 7.06, Industrials, Aerospace & Defense
CGA, 5.65, Basic Materials, Agricultural Inputs
ICL, 5.35, Basic Materials, Agricultural Inputs
GOL, 9.35, Industrials, Airlines
CAAP, 4.1000, Industrials, Airports & Air Services
ACH, 8.11, Basic Materials, Aluminum
VNCE, 8.80, Consumer Cyclical, Apparel Manufacturing
CHS, 2.3400, Consumer Cyclical, Apparel Retail
EXPR, 3.2700, Consumer Cyclical, Apparel Retail
JILL, 4.6500, Consumer Cyclical, Apparel Retail
AOD, 9.28, Financial Services, Asset Management
ASG, 9.23, Financial Services, Asset Management
AWP, 5.51, Financial Services, Asset Management
BCX, 8.32, Financial Services, Asset Management
BDJ, 8.64, Financial Services, Asset Management
BGIO, 9.15, Financial Services, Asset Management
BGR, 7.69, Financial Services, Asset Management
BGY, 5.95, Financial Services, Asset Management
BKT, 6.17, Financial Services, Asset Management
BUR, 8.43, Financial Services, Asset Management
CIF, 2.5200, Financial Services, Asset Management
CMU, 4.4900, Financial Services, Asset Management
CXE, 5.03, Financial Services, Asset Management
CXH, 9.95, Financial Services, Asset Management
DDF, 9.60, Financial Services, Asset Management
DEX, 9.68, Financial Services, Asset Management
DHF, 3.0000, Financial Services, Asset Management
DSE, 6.35, Financial Services, Asset Management
DSM, 7.92, Financial Services, Asset Management
EDD, 6.15, Financial Services, Asset Management
EDF, 8.49, Financial Services, Asset Management
EDI, 9.35, Financial Services, Asset Management
EHT, 9.79, Financial Services, Asset Management
EOD, 5.08, Financial Services, Asset Management
EQS, 1.8802, Financial Services, Asset Management
ETW, 9.80, Financial Services, Asset Management
EVF, 6.62, Financial Services, Asset Management
EXG, 8.96, Financial Services, Asset Management
FEI, 6.31, Financial Services, Asset Management
FGB, 3.5861, Financial Services, Asset Management
FIV, 9.24, Financial Services, Asset Management
FMO, 7.95, Financial Services, Asset Management
FPL, 4.7800, Financial Services, Asset Management
FT, 7.46, Financial Services, Asset Management
GAB, 6.43, Financial Services, Asset Management
GCV, 6.61, Financial Services, Asset Management
GDL, 8.98, Financial Services, Asset Management
GER, 8.65, Financial Services, Asset Management
GGT, 8.70, Financial Services, Asset Management
GIM, 5.61, Financial Services, Asset Management
GNT, 5.09, Financial Services, Asset Management
GPM, 6.74, Financial Services, Asset Management
GUT, 8.13, Financial Services, Asset Management
HIE, 8.13, Financial Services, Asset Management
HIO, 4.9900, Financial Services, Asset Management
HIX, 6.93, Financial Services, Asset Management
HTY, 5.70, Financial Services, Asset Management
HYB, 8.95, Financial Services, Asset Management
IAE, 9.39, Financial Services, Asset Management
IGA, 8.83, Financial Services, Asset Management
IGD, 5.31, Financial Services, Asset Management
IGR, 7.20, Financial Services, Asset Management
IHD, 7.88, Financial Services, Asset Management
IHIT, 9.07, Financial Services, Asset Management
IID, 5.24, Financial Services, Asset Management
IRR, 2.8700, Financial Services, Asset Management
JCO, 8.24, Financial Services, Asset Management
JDD, 8.86, Financial Services, Asset Management
JEQ, 9.38, Financial Services, Asset Management
JFR, 9.46, Financial Services, Asset Management
JOF, 9.10, Financial Services, Asset Management
JP, 2.3000, Financial Services, Asset Management
JPC, 9.29, Financial Services, Asset Management
JPS, 9.60, Financial Services, Asset Management
JQC, 6.48, Financial Services, Asset Management
JRO, 9.37, Financial Services, Asset Management
JRS, 8.79, Financial Services, Asset Management
JTA, 9.93, Financial Services, Asset Management
KMF, 6.34, Financial Services, Asset Management
KYN, 6.70, Financial Services, Asset Management
LEO, 8.52, Financial Services, Asset Management
MCN, 7.11, Financial Services, Asset Management
MCR, 8.89, Financial Services, Asset Management
MDLY, 9.26, Financial Services, Asset Management
MFD, 8.84, Financial Services, Asset Management
MFM, 6.71, Financial Services, Asset Management
MFV, 5.77, Financial Services, Asset Management
MGF, 4.5200, Financial Services, Asset Management
MHF, 7.95, Financial Services, Asset Management
MIE, 2.8000, Financial Services, Asset Management
MIN, 3.7600, Financial Services, Asset Management
MMT, 6.18, Financial Services, Asset Management
MN, 6.61, Financial Services, Asset Management
MSD, 9.37, Financial Services, Asset Management
MVF, 9.32, Financial Services, Asset Management
MXE, 9.52, Financial Services, Asset Management
NCV, 5.87, Financial Services, Asset Management
NCZ, 5.21, Financial Services, Asset Management
NHA, 9.86, Financial Services, Asset Management
NSL, 5.56, Financial Services, Asset Management
OIA, 8.00, Financial Services, Asset Management
PCF, 8.84, Financial Services, Asset Management
PCK, 9.11, Financial Services, Asset Management
PHK, 6.23, Financial Services, Asset Management
PHT, 9.14, Financial Services, Asset Management
PIM, 4.2200, Financial Services, Asset Management
PMM, 8.16, Financial Services, Asset Management
PPR, 4.5500, Financial Services, Asset Management
PPT, 4.6800, Financial Services, Asset Management
PYN, 9.17, Financial Services, Asset Management
PZN, 8.92, Financial Services, Asset Management
RCS, 7.22, Financial Services, Asset Management
SBI, 9.33, Financial Services, Asset Management
SFE, 7.60, Financial Services, Asset Management
SMM, 4.8300, Financial Services, Asset Management
SWZ, 9.11, Financial Services, Asset Management
TEI, 7.67, Financial Services, Asset Management
TSI, 5.58, Financial Services, Asset Management
USA, 7.24, Financial Services, Asset Management
VVR, 4.1700, Financial Services, Asset Management
KFS, 4.5700, Consumer Cyclical, Auto & Truck Dealerships
RENN, 7.77, Consumer Cyclical, Auto & Truck Dealerships
AXL, 9.83, Consumer Cyclical, Auto Parts
HZN, 9.63, Consumer Cyclical, Auto Parts
SUP, 5.55, Consumer Cyclical, Auto Parts
BBVA, 5.29, Financial Services, Banks—Diversified
BCS, 8.07, Financial Services, Banks—Diversified
ING, 9.36, Financial Services, Banks—Diversified
MUFG, 4.8400, Financial Services, Banks—Diversified
NWG, 4.5700, Financial Services, Banks—Diversified
SAN, 3.3500, Financial Services, Banks—Diversified
SMFG, 6.52, Financial Services, Banks—Diversified
AVAL, 6.70, Financial Services, Banks—Regional
BBAR, 2.9500, Financial Services, Banks—Regional
