Symbol, Owned, Shares, Purchase Price, Current Price/Sold Price, Percentage, Purchase Amount, Current/Sold Value, Profit
AIG,  y, 145, 27.53, 38.92, 41.37%, 3991.85, 5643.4, 1651.55
ALL, y, 43, 93.99, 111.69, 18.83%, 4041.57, 4802.67, 761.1
AMG, y, 59, 67.75, 111.99, 65.3%, 3997.25, 6607.41, 2610.16
AMP, y, 27, 150.25, 205.42, 36.72%, 4056.75, 5546.34, 1489.59
ANTM, y, 16, 258.35, 300.24, 16.21%, 4133.6, 4803.84, 670.24
APTV, y, 45, 89.61, 142.08, 58.55%, 4032.45, 6393.6, 2361.15
ATGE, y, 163, 24.49, 40.7, 66.19%, 3991.87, 6634.1, 2642.23
BKR, y, 308, 12.80, 20.42, 59.53%, 3942.4, 6289.36, 2346.96
CI, y, 25, 164.75, 219.71, 33.36%, 4118.75, 5492.75, 1374.0
CNC, n, 69, 57.96, 62.60, 8.01%, 3999.24, 4319.4, 320.16
CNS, n, 70, 56.56, 68.18, 20.54%, 3959.2, 4772.6, 813.4
CXO, n, 93, 43.18, 65.60, 51.99%, 4015.74, 6100.8, 2085.06 
DHI, y, 56, 71.25, 77.19, 8.34%, 3990.0, 4322.64, 332.64
DQ, y, 180, 22.34, 114.17, 411.06%, 4021.2, 20550.6, 16529.4
ENIA, y, 621, 6.42, 7.68, 19.63%, 3986.82, 4769.28, 782.46
EV, n, 103, 38.79, 61.75, 59.14%, 3995.37, 6360.25, 2364.88
EVR, y, 63, 63.45, 115.07, 81.36%, 3997.35, 7249.41, 3252.06
FHI, y, 188, 21.25, 27.46, 29.22%, 3995.0, 5162.48, 1167.48
HUM, y, 10, 400.59, 384.42, -4.04%, 4005.9, 3844.2, -161.7
LEN, y, 50, 79.63, 84.95, 6.68%, 3981.5, 4247.5, 266.0
LHX, n, 22, 177.99, 193.80, 8.88%, 3915.78, 4263.6, 347.82
LXFR, y, 313, 12.75, 16.92, 32.71%, 3990.75, 5295.96, 1305.21
MOS, y, 223, 17.99, 27.38, 52.2%, 4011.77, 6105.74, 2093.97
MRK, y, 50, 80.54, 78.82, -2.14%, 4027.0, 3941.0, -86.0
MXL, y, 172, 23.25, 32.68, 40.56%, 3999.0, 5620.96, 1621.96
NEM, y, 63, 63.62, 60.38, -5.09%, 4008.06, 3803.94, -204.12
NVO, y, 58, 68.43, 70.89, 3.59%, 3968.94, 4111.62, 142.68
NVR, y, 1, 3923.20, 4517.14, 15.14%, 3923.2, 4517.14, 593.94
OC, y, 58, 69.10, 81.72, 18.26%, 4007.8, 4739.76, 731.96
PE,n,413,9.58, 16.93, 76.72%,  3956.54, 6992.09, 3035.55
PFE, n, 110, 36.43, 36.76, 0.91%, 4007.3, 4043.6, 36.3
PHM, y, 90, 45.00, 45.54, 1.2%, 4050.0, 4098.6, 48.6
RHI, y, 77, 51.78, 67.47, 30.3%, 3987.06, 5195.19, 1208.13
SNX, y, 31, 132.87, 84.64, -36.3%, 4118.97, 2623.84, -1495.13
SPXC, n, 88, 45.62, 54.4, 19.25%, 4014.56, 4787.2, 772.64
SQM, n, 125, 32.06, 45.03, 40.46%, 4007.5, 5628.75, 1621.25
TSN, y, 68, 59.13, 64.15, 8.49%, 4020.84, 4362.2, 341.36
UNH, y, 13, 304.02, 340.0, 11.83%, 3952.26, 4420.0, 467.74
Total Purchase Value = 116349.91
Total Current Value = 172592.59
Total Profit = 56242.68
Percentage Change = 48.34%
